"";"Version..0...Fixed.Task.";"Task";"Concept";"Att.1...Doppelseitiges.Drucken";"Att.2...Scan.Funktion";"Att.3...Eco.Modus";"Att.4...Kosten.pro.Seite..in.cent.";"Att.5...Heft..und.Lochfunktion";"Att.6...Sterne.Bewertung.von.1..schlecht..bis.5..gut.";"Att.7...Preis"
"1";0;1;1;2;2;1;3;2;1;2
"2";0;1;2;2;2;2;1;1;3;3
"3";0;1;3;1;2;2;1;2;4;3
"4";0;1;4;2;1;2;3;2;4;4
"5";0;2;1;1;2;2;2;1;3;4
"6";0;2;2;2;1;2;2;2;2;5
"7";0;2;3;1;1;1;3;2;2;1
"8";0;2;4;2;1;1;1;2;1;4
"9";1;1;1;2;1;1;1;1;3;3
"10";1;1;2;2;1;1;1;1;1;1
"11";1;1;3;2;1;1;3;2;4;3
"12";1;1;4;2;2;1;3;2;1;4
"13";1;2;1;1;2;2;2;1;2;4
"14";1;2;2;1;2;2;3;2;2;2
"15";1;2;3;2;1;1;2;2;1;3
"16";1;2;4;1;2;2;3;1;2;4
"17";1;3;1;1;1;2;2;2;4;1
"18";1;3;2;1;2;2;2;2;1;4
"19";1;3;3;2;2;2;1;1;1;2
"20";1;3;4;2;2;2;1;2;2;3
"21";1;4;1;2;1;1;1;2;4;5
"22";1;4;2;2;2;2;3;1;2;5
"23";1;4;3;2;2;2;2;1;4;1
"24";1;4;4;1;1;2;2;1;1;3
"25";1;5;1;1;1;1;2;1;3;1
"26";1;5;2;2;2;1;1;1;1;5
"27";1;5;3;2;2;1;2;1;4;5
"28";1;5;4;1;2;1;3;2;1;4
"29";1;6;1;2;1;1;3;2;2;3
"30";1;6;2;2;2;2;1;2;4;2
"31";1;6;3;1;1;2;1;2;3;3
"32";1;6;4;2;1;2;1;1;4;1
"33";1;7;1;2;1;1;1;2;4;3
"34";1;7;2;1;1;1;1;2;4;3
"35";1;7;3;2;2;2;2;1;3;5
"36";1;7;4;1;2;1;2;1;2;4
"37";1;8;1;1;2;2;1;1;4;3
"38";1;8;2;1;2;2;2;1;1;4
"39";1;8;3;2;1;1;3;2;3;3
"40";1;8;4;1;2;1;3;1;3;5
"41";1;9;1;1;1;2;3;1;1;1
"42";1;9;2;2;2;1;2;2;3;3
"43";1;9;3;1;1;1;1;1;3;4
"44";1;9;4;2;2;2;2;2;2;5
"45";1;10;1;1;1;1;3;1;1;5
"46";1;10;2;1;1;2;2;2;3;1
"47";1;10;3;1;1;1;3;1;4;3
"48";1;10;4;1;1;2;1;1;4;4
"49";1;11;1;1;2;1;1;1;4;1
"50";1;11;2;2;2;1;2;1;2;5
"51";1;11;3;1;1;1;1;1;1;1
"52";1;11;4;1;2;2;3;1;2;5
"53";1;12;1;1;2;2;2;2;3;4
"54";1;12;2;1;2;2;1;1;2;1
"55";1;12;3;1;1;1;2;1;1;2
"56";1;12;4;1;1;1;2;1;4;2
"57";2;1;1;2;2;2;3;1;1;1
"58";2;1;2;2;2;2;3;1;2;2
"59";2;1;3;1;2;2;2;1;1;5
"60";2;1;4;2;1;2;1;2;4;1
"61";2;2;1;2;1;1;1;1;1;3
"62";2;2;2;1;1;2;2;2;4;3
"63";2;2;3;2;1;2;3;1;1;3
"64";2;2;4;1;1;1;2;1;4;5
"65";2;3;1;1;1;2;3;1;2;2
"66";2;3;2;1;2;2;1;2;2;5
"67";2;3;3;1;1;1;2;1;2;5
"68";2;3;4;1;1;1;1;1;3;2
"69";2;4;1;2;2;2;3;1;1;1
"70";2;4;2;1;2;2;2;2;3;4
"71";2;4;3;1;2;2;3;2;1;3
"72";2;4;4;1;2;2;1;1;2;4
"73";2;5;1;2;1;1;2;2;1;1
"74";2;5;2;2;2;2;3;1;2;5
"75";2;5;3;1;2;2;1;1;3;3
"76";2;5;4;2;1;1;1;2;3;5
"77";2;6;1;2;2;2;2;1;2;5
"78";2;6;2;2;1;1;1;2;2;2
"79";2;6;3;2;2;2;1;2;2;3
"80";2;6;4;2;1;2;3;2;4;2
"81";2;7;1;2;2;1;2;1;3;4
"82";2;7;2;2;2;2;1;1;3;1
"83";2;7;3;1;1;1;3;2;2;5
"84";2;7;4;2;2;1;1;2;1;1
"85";2;8;1;2;2;2;2;2;2;5
"86";2;8;2;2;1;1;1;1;4;1
"87";2;8;3;1;2;1;3;2;4;4
"88";2;8;4;1;2;1;2;1;2;4
"89";2;9;1;2;1;2;1;2;2;1
"90";2;9;2;1;1;2;1;2;4;3
"91";2;9;3;2;2;2;2;2;1;2
"92";2;9;4;2;1;2;2;1;1;2
"93";2;10;1;1;1;2;2;1;3;2
"94";2;10;2;2;2;1;1;1;1;2
"95";2;10;3;2;1;1;2;2;2;1
"96";2;10;4;1;1;2;1;1;4;5
"97";2;11;1;2;1;2;1;2;1;4
"98";2;11;2;2;1;2;2;2;3;3
"99";2;11;3;1;1;2;2;2;1;2
"100";2;11;4;2;2;2;3;1;1;1
"101";2;12;1;2;1;1;3;1;2;4
"102";2;12;2;1;2;2;1;1;2;5
"103";2;12;3;1;1;1;2;2;3;2
"104";2;12;4;1;1;2;1;1;4;4
"105";3;1;1;2;2;2;2;2;2;5
"106";3;1;2;1;2;2;1;1;1;2
"107";3;1;3;2;2;1;1;1;2;5
"108";3;1;4;1;1;1;2;1;2;5
"109";3;2;1;1;2;2;1;2;1;5
"110";3;2;2;1;1;2;1;2;3;3
"111";3;2;3;1;2;2;1;1;4;3
"112";3;2;4;1;2;1;1;1;2;4
"113";3;3;1;1;2;2;3;2;1;1
"114";3;3;2;2;1;1;3;1;1;2
"115";3;3;3;1;1;1;2;2;1;1
"116";3;3;4;2;2;1;2;2;2;2
"117";3;4;1;2;1;1;1;2;1;1
"118";3;4;2;1;1;2;1;1;1;5
"119";3;4;3;2;1;1;3;1;1;2
"120";3;4;4;2;2;2;2;1;1;3
"121";3;5;1;2;2;2;3;2;1;4
"122";3;5;2;2;2;1;3;2;3;5
"123";3;5;3;1;1;1;1;2;4;2
"124";3;5;4;1;1;1;2;1;4;1
"125";3;6;1;1;1;1;1;2;1;3
"126";3;6;2;2;1;2;1;1;4;4
"127";3;6;3;2;1;2;1;2;1;3
"128";3;6;4;1;2;1;2;1;3;2
"129";3;7;1;2;1;2;2;1;1;1
"130";3;7;2;1;2;2;1;2;4;4
"131";3;7;3;1;1;2;2;2;3;2
"132";3;7;4;2;1;2;2;2;2;4
"133";3;8;1;1;1;1;3;1;4;3
"134";3;8;2;1;1;1;1;2;2;3
"135";3;8;3;2;1;1;3;2;3;4
"136";3;8;4;2;1;2;1;1;2;1
"137";3;9;1;2;2;1;2;1;1;1
